group,accuracy,n,true_label
MAR_multi_predictor_seed443000746_mr8.txt,1.0,1,MAR
MAR_logistic_seed628987054_mr7.txt,1.0,1,MAR
MAR_logistic_seed766305211_mr5.txt,1.0,1,MAR
MAR_multi_predictor_seed2034580336_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed2026786887_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed176157881_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed1759944022_mr9.txt,1.0,1,MAR
MAR_multi_predictor_seed1714171303_mr9.txt,1.0,1,MAR
MAR_multi_predictor_seed1691952975_mr10.txt,1.0,1,MAR
MAR_logistic_seed742750820_mr1.txt,1.0,1,MAR
MAR_multi_predictor_seed1532416490_mr5.txt,1.0,1,MAR
MAR_multi_predictor_seed1287791953_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed1212007457_mr8.txt,1.0,1,MAR
MAR_multi_predictor_seed1128255468_mr10.txt,1.0,1,MAR
MAR_multi_predictor_seed1014491702_mr6.txt,1.0,1,MAR
MAR_multi_predictor_seed1006698253_mr4.txt,1.0,1,MAR
MAR_logistic_seed880068977_mr8.txt,1.0,1,MAR
MAR_multi_predictor_seed1463089380_mr3.txt,1.0,1,MAR
MAR_rank_seed1219597404_mr6.txt,1.0,1,MAR
MAR_rank_seed1303349393_mr10.txt,1.0,1,MAR
MAR_rank_seed1394894831_mr6.txt,1.0,1,MAR
MCAR_block_seed125565511_mr6.txt,1.0,1,MCAR
MCAR_block_seed1123435817_mr4.txt,1.0,1,MCAR
MAR_threshold_seed891515097_mr1.txt,1.0,1,MAR
MAR_threshold_seed845742378_mr3.txt,1.0,1,MAR
MAR_threshold_seed777751331_mr5.txt,1.0,1,MAR
MAR_threshold_seed731978612_mr7.txt,1.0,1,MAR
MCAR_block_seed1282972302_mr3.txt,1.0,1,MCAR
MAR_threshold_seed640433174_mr8.txt,1.0,1,MAR
MAR_threshold_seed389351251_mr3.txt,1.0,1,MAR
MAR_threshold_seed297805813_mr6.txt,1.0,1,MAR
MAR_threshold_seed252033094_mr6.txt,1.0,1,MAR
MAR_threshold_seed244065601_mr3.txt,1.0,1,MAR
MAR_threshold_seed1843612684_mr10.txt,1.0,1,MAR
MAR_threshold_seed1752067246_mr7.txt,1.0,1,MAR
MAR_threshold_seed548887736_mr10.txt,1.0,1,MAR
MAR_threshold_seed1722055469_mr2.txt,1.0,1,MAR
MCAR_block_seed1374517740_mr10.txt,1.0,1,MCAR
MCAR_block_seed1641360605_mr9.txt,1.0,1,MCAR
MCAR_block_seed956105883_mr10.txt,1.0,1,MCAR
MCAR_block_seed95553734_mr4.txt,1.0,1,MCAR
