trial,accuracy_cv,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight
25,0.8422852049910873,460,5,0.001649235283407831,0.8190082877068532,0.8487557910948657,0.0015604178798110668,0.6945348927509172,1
26,0.827951871657754,376,3,0.006600668965586363,0.6240768860042248,0.7111186976062629,0.003846958315039711,0.37637162627549353,7
27,0.844951871657754,287,6,0.0025785488573310065,0.7296925377574917,0.7650909046565272,0.04115455805893263,0.034859729594510794,9
28,0.8339518716577541,451,7,0.004354868494868725,0.6654930085670363,0.6152251149820762,1.8000662289714424,0.10411488573047102,5
29,0.8569518716577541,500,2,0.0010805745630974501,0.8152749232901321,0.8510733226069569,5.047561577603691,0.005168763333477886,10
30,0.8236185383244207,405,5,0.009767674829072235,0.9346656915628363,0.9379728933211138,2.4051303972846108,0.292125204354759,6
31,0.8569518716577541,322,4,0.0017108581593317609,0.7751197383237296,0.8181500489474857,8.643863389868747,0.09713366770953681,1
32,0.8556185383244206,319,4,0.0022996862545156347,0.753556469114243,0.7639337187863927,8.913998648793385,0.0720346751206431,2
33,0.8569518716577541,244,5,0.001437033552068433,0.5859760500890251,0.8445201519847826,5.69668964834024,0.1434474939733258,1
34,0.8356185383244206,362,4,0.00302920371569111,0.5006200881636564,0.878576118933821,0.7465321873149858,0.018900692222391356,3
35,0.8569518716577541,297,3,0.0014629288550796287,0.7856120048904837,0.6773293213235813,0.23284912572086877,0.03876527320171119,2
36,0.8436185383244208,212,5,0.0045896348410768735,0.6670896256296591,0.8308840343472729,2.592762200747695,0.4874933080388721,4
37,0.8569518716577541,146,7,0.0023894657530551177,0.8482250687718571,0.9928203094346483,6.937123490832731,1.5231515493531467,1
38,0.820951871657754,177,6,0.029576637824924208,0.5683340827640398,0.8746249489480853,3.145753886033393,0.010855154106111476,2
39,0.8489518716577539,232,2,0.0032421785580339347,0.5293452152715846,0.7411088423028922,0.8710010696835453,0.0010954329343203322,7
40,0.8569518716577541,473,3,0.001014380738177791,0.7172720258562755,0.7823708239347349,0.12394269372038334,0.1624670890729136,9
41,0.8569518716577541,54,4,0.0065228943313613485,0.7773385611123961,0.8118305012480839,0.8551189332788901,0.02694516421517888,4
42,0.8569518716577541,88,4,0.0048728587647190475,0.7976712969151283,0.7207812417868813,4.058551599089809,1.163610944191037,6
43,0.8366185383244206,150,5,0.008149778715429852,0.7574326163651924,0.7845826030948527,1.6099135574742498,0.5114133789117287,4
44,0.8569518716577541,305,3,0.00186399910603957,0.8705922857546701,0.951069375863629,0.06906211628785952,3.985191198241223,3
45,0.8186185383244207,358,4,0.015518745809065645,0.8337658768324121,0.8801145957229746,0.26680707887277777,0.07213015386551648,5
46,0.8569518716577541,76,3,0.0013782532613709065,0.9985468127516595,0.6285544966695683,0.5872673774589862,0.231665509251541,2
47,0.8569518716577541,195,8,0.0027439098287061862,0.9121306172574678,0.9034640638979975,6.024552051549188,0.12022381932853847,8
48,0.8409518716577541,441,5,0.0036220818727298204,0.6870843126972311,0.8068744049321226,9.6647820981603,0.0501848702660333,4
49,0.8502852049910874,115,4,0.005488370563617929,0.874627343818028,0.7573587016910868,3.6383533048959915,0.011845772662957067,3
