trial,accuracy_cv,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,random_strength
71,0.8062156862745098,179,6,0.07978534485673032,0.14494364509988578,0.9901442223410228,0.12553743458273975
72,0.7965490196078432,198,5,0.18431166617198455,0.20521678614614453,0.8343308288019671,0.1786458770377178
73,0.8076185383244207,221,4,0.11067079915627528,0.11278961340733243,0.7905135423300186,2.158753117312334
74,0.7926880570409982,90,3,0.2325598435120106,0.6501749885144756,0.8778209418755306,1.277321262165361
75,0.8086880570409981,277,6,0.06517052329641625,0.13766312647775153,0.9688563666359643,0.2408993384064291
76,0.8078823529411764,168,4,0.12432320451668713,0.1735486422411312,0.851059542221866,0.26662803981722516
77,0.7862994652406419,209,3,0.03114637732448505,0.3245575907032456,0.9270535833937207,4.295857288028802
78,0.8076185383244207,251,7,0.04702942624481374,0.25734373544652767,0.9991815956713719,0.9382696709372994
79,0.8078128342245989,190,5,0.2108046907087452,0.21615206595584602,0.14879626590574863,0.13775967628896577
80,0.8086185383244207,265,3,0.256757073332417,2.503306105092225,0.758971598386879,1.623612825350494
81,0.8070213903743315,237,3,0.043008423415891846,0.12924227819768552,0.6991968724259595,0.41334078183615847
82,0.8102852049910874,226,3,0.05924221663449785,0.15597521931387065,0.9575775252094285,0.2044820261631905
83,0.7936880570409982,162,2,0.08864135564523191,0.17812596635257963,0.05244499213794149,1.1612215259244547
84,0.7902852049910873,199,3,0.02359732367422695,0.12725178253176103,0.8086701903945174,0.2766865392739408
85,0.7780766488413547,217,4,0.0010101252335612864,0.10298784953540435,0.2226914944329156,0.1207257440638833
86,0.8072852049910875,497,8,0.07138721809327177,0.14793079329716277,0.8881139231858042,2.454624759610769
87,0.7900213903743316,180,3,0.034783510908806596,0.19980161982917394,0.28285483855091376,0.3513277678553881
88,0.8031461675579322,245,2,0.14533026671080113,0.22898829300655293,0.4307400779325806,1.8881209036227242
89,0.8006185383244206,285,3,0.0493755560190391,0.9091147893265015,0.9063412074161765,0.6990338126566367
90,0.8036185383244205,463,5,0.17397199942211028,0.42083277214865883,0.8436386866425222,0.5033979434509803
91,0.8163547237076649,229,3,0.058739919315446754,0.11508704818596899,0.9134764273461751,0.15743305853912795
92,0.8110213903743315,229,3,0.07831018412270974,0.11508840813057407,0.9214373535492385,0.16043691606700486
