feature,rf_importance,perm_importance,mi_score,f_score,p_value,rfe_ranking,rf_importance_norm,perm_importance_norm,mi_score_norm,f_score_norm,combined_score
X0_obs_rate_low,0.011433906521939687,0.004533333333333311,0.00918294681223486,26.80325242567531,3.659890626339488e-12,3,0.15871062460052857,0.3868613128096862,0.020380125112171042,0.020203443949742796,0.1717882950354472
X0_q50,0.013614974880186648,0.0005333333333333079,0.033572674294394256,79.6290607010574,1.3785410938215762e-33,6,0.18898537984446956,0.277372262014492,0.07450933959002269,0.060021867462002484,0.1668135339680935
mi_mask_X3,0.011776545861136179,0.004533333333333311,0.0,0.6018933273297369,0.5479063118064583,9,0.16346669842641134,0.3868613128096862,0.0,0.0004536881535608697,0.16518914100154145
X0_q75,0.01433438685169269,-3.3306690738754695e-17,0.020618227774324538,66.07631600206426,3.179804604129771e-28,4,0.19897132149299826,0.26277372190846593,0.045758956272306785,0.049806237151816986,0.157636551705264
coef_X3_abs,0.012265703326697895,0.0026666666666666284,0.0016792439810373594,0.11973625015642571,0.8871629051651653,9,0.1702565463876785,0.33576642243859517,0.0037268213708702333,9.02533983700592e-05,0.15257030560173016
coef_X4_abs,0.010096097719286464,0.00346666666666664,0.0,0.004396981165294459,0.9956126842877184,7,0.1401409021475975,0.35766423259763436,0.0,3.3143053354228593e-06,0.14934220328463665
corr_mask_X3,0.009293380946183285,0.002399999999999969,0.00997273449014191,0.012789286178188993,0.9872922572951038,8,0.1289986315516233,0.3284671523855825,0.022132936275832724,9.640159423740215e-06,0.14166825046821302
X0_obs_high_low_ratio,0.011867141869086165,-3.3306690738754695e-17,0.0,46.2011529194523,3.397324102336628e-20,3,0.1647242344208212,0.26277372190846593,0.0,0.03482496782843818,0.13521438046447376
missing_pos_mean,0.012208029323098961,-0.0002666666666667039,0.01651289457558569,0.13599582507123825,0.8728570806447854,4,0.16945599085428875,0.25547445185545287,0.03664780644990191,0.00010250935168576142,0.13482919597324
runs_z_score,0.009261202714172518,0.001066666666666638,0.011253665983494088,1.192642539991584,0.30370711493058444,1,0.1285519751712191,0.2919708021205178,0.024975764904640187,0.0008989762259492567,0.13133178141363896
X0_kurtosis,0.009440864753533531,0.0007999999999999785,0.0,0.8014731173746495,0.4488603494269083,1,0.13104581001491641,0.284671532067505,0.0,0.0006041250870209043,0.12483602764213061
corr_mask_X2,0.011017113412345274,-0.0002666666666666817,0.0,0.28049657839538533,0.7554483018207516,9,0.15292524454463985,0.2554744518554534,0.0,0.0002114294492961342,0.12256219480988721
mi_mask_X4,0.010146337566738828,-0.0002666666666667039,0.007322797749319765,0.062315704187820994,0.9395886507277631,7,0.14083826639084193,0.25547445185545287,0.016251812991383407,4.697160690623439e-05,0.12215357239354638
mask_autocorr_1,0.008793661083425478,0.0005333333333333079,0.0,1.1673098143291738,0.3114866785948365,1,0.1220621701251285,0.277372262014492,0.0,0.0008798812185640915,0.12000630588559896
corr_mask_X4,0.010968255925623869,-0.0010666666666667047,0.004216204904627929,0.021747856303987012,0.9784872330213934,8,0.15224706843579314,0.23357664169641398,0.009357212364595446,1.6392846244427067e-05,0.1176218340818301
missing_last_quarter,0.012630748304474037,-0.001866666666666672,0.0,0.0359918016342066,0.9646490383851917,9,0.17532362615774374,0.21167883153737604,0.0,2.7129481729254486e-05,0.11610616320488178
avg_burst_size,0.00781281621976568,-1.1102230246251566e-17,0.0014455424240007453,0.4280570765799255,0.6518541244530113,1,0.10844735696840362,0.26277372190846654,0.0032081570391799324,0.0003226558858091787,0.11207248624805886
missing_first_quarter,0.01027406170798209,-0.001333333333333353,0.0,0.1689939062883304,0.8445301908403898,6,0.1426111668596701,0.22627737164340156,0.0,0.00012738226164947769,0.11069203800325139
X0_std,0.0080353363622284,-0.0008000000000000229,0.0,0.268896799138139,0.764259098228698,6,0.11153609227760797,0.24087591174942735,0.0,0.00020268590256787702,0.10576413838862415
X0_range,0.007778814027707846,-0.0010666666666666823,0.0,0.00818855042801829,0.9918449289425578,10,0.10797538274603867,0.2335766416964146,0.0,6.172270326553167e-06,0.1024668417868013
X0_obs_position_corr,0.00958719628607994,-0.0021333333333333425,0.0,0.00347540727254808,0.9965306330216914,3,0.13307699409750706,0.20437956148436298,0.0,2.6196520824537413e-06,0.1012374906049775
coef_X2_abs,0.010968705892529249,-0.0029333333333333433,0.0,0.2984522423738029,0.7420099417856452,8,0.15225331429135136,0.18248175132532415,0.0,0.00022496386090436408,0.10046551245718352
