modelo,test_group,true_class,n_samples,accuracy,cenario
NaiveBayes,MNAR_kidney_sod,MNAR,50,0.56,C_full
NaiveBayes,MNAR_mroz_wages,MNAR,50,0.9,C_full
NaiveBayes,MNAR_pima_insulin,MNAR,50,0.26,C_full
RandomForest,MAR_airquality_ozone,MAR,50,0.58,C_full
RandomForest,MAR_colic_resprate,MAR,50,0.2,C_full
RandomForest,MAR_hearth_chol,MAR,50,0.5,C_full
RandomForest,MAR_kidney_hemo,MAR,50,0.16,C_full
RandomForest,MAR_mammographic_density,MAR,50,0.06,C_full
RandomForest,MAR_oceanbuoys_airtemp,MAR,50,0.98,C_full
RandomForest,MAR_oceanbuoys_humidity,MAR,50,0.76,C_full
RandomForest,MAR_sick_t3,MAR,50,0.04,C_full
RandomForest,MAR_sick_tsh,MAR,50,0.0,C_full
RandomForest,MAR_titanic_age,MAR,50,0.98,C_full
RandomForest,MAR_titanic_age_v2,MAR,50,0.98,C_full
RandomForest,MCAR_autompg_horsepower,MCAR,37,0.13513513513513514,C_full
RandomForest,MCAR_breastcancer_barenuclei,MCAR,45,0.9111111111111111,C_full
RandomForest,MCAR_cylinderbands_bladepressure,MCAR,50,0.04,C_full
RandomForest,MCAR_cylinderbands_esavoltage,MCAR,50,0.06,C_full
RandomForest,MCAR_hypothyroid_t4u,MCAR,50,0.0,C_full
RandomForest,MNAR_adult_capitalgain,MNAR,50,0.56,C_full
RandomForest,MNAR_colic_refluxph,MNAR,50,0.28,C_full
RandomForest,MNAR_cylinderbands_varnishpct,MNAR,50,0.02,C_full
RandomForest,MNAR_kidney_pot,MNAR,50,0.14,C_full
RandomForest,MNAR_kidney_sod,MNAR,50,0.08,C_full
RandomForest,MNAR_mroz_wages,MNAR,50,0.3,C_full
RandomForest,MNAR_pima_insulin,MNAR,50,0.0,C_full
SVM_RBF,MAR_airquality_ozone,MAR,50,0.68,C_full
SVM_RBF,MAR_colic_resprate,MAR,50,0.16,C_full
SVM_RBF,MAR_hearth_chol,MAR,50,0.56,C_full
SVM_RBF,MAR_kidney_hemo,MAR,50,0.1,C_full
SVM_RBF,MAR_mammographic_density,MAR,50,0.04,C_full
SVM_RBF,MAR_oceanbuoys_airtemp,MAR,50,0.96,C_full
SVM_RBF,MAR_oceanbuoys_humidity,MAR,50,0.04,C_full
SVM_RBF,MAR_sick_t3,MAR,50,0.08,C_full
SVM_RBF,MAR_sick_tsh,MAR,50,0.04,C_full
SVM_RBF,MAR_titanic_age,MAR,50,0.96,C_full
SVM_RBF,MAR_titanic_age_v2,MAR,50,0.86,C_full
