missing_total,missing_X0,mi_mask,corr_mask,delta_mean,dixon_extreme_score,reg_auc,reg_coef_norm,little_pvalue,little_score,jj_pvalue,jj_score
0.0046,0.023,0.0535670042086003,-2.3404096548214617e-17,-2.220446049250313e-16,0.0,0.5450135730497085,0.137383153427624,0.992074028379821,0.0034559196630463,0.9109720739308216,0.0404949362252882
0.0116,0.058,0.1383176330701536,-6.2769186170987265e-18,0.0,0.0,0.5677209166117578,0.2354427524756237,0.9755740450424332,0.0107397625247623,0.8437119487690541,0.0738058003087951
0.0192,0.096,0.20944325679726,3.487629319044726e-17,-1.1102230246251563e-16,0.0,0.5936808628318584,0.3207652000371126,0.9528818656130676,0.0209609380736726,0.782932880456453,0.1062754676953518
0.0198,0.099,0.2155732709873217,1.0693065995059733e-17,5.551115123125783e-17,0.0,0.5767217121268177,0.2761879716730817,0.9704467159815096,0.0130283052941542,0.8280893138327624,0.0819228197213059
0.0114,0.057,0.1245448760292897,4.443989649111009e-17,0.0,0.0,0.5658871462856505,0.1917897314985531,0.979220132564084,0.0091196661016944,0.855847762986778,0.0676034801531261
0.0188,0.094,0.2166237743040144,6.54219171582374e-17,2.220446049250313e-16,0.0,0.5555751256399417,0.2120539276101223,0.9728793405952744,0.0119410188920142,0.8353164871496678,0.0781489465751558
0.0188,0.094,0.2068704624490653,2.6794335089369157e-17,-2.220446049250313e-16,0.0,0.527441172326335,0.0970069244698355,0.987251450113492,0.005572219682251,0.8870905234866979,0.0520320601628745
0.0042,0.021,0.0489219831351449,1.328178679310524e-17,1.1102230246251563e-16,0.0,0.5603385378666277,0.2163886302118515,0.9849822938711924,0.0065715763482275,0.8774532492115455,0.0567760134949928
0.0098,0.049,0.1040637161853452,-1.6032047607039134e-17,0.0,0.0,0.615592609283461,0.3963281586056622,0.9646078422830036,0.0156492115760798,0.8118719645640331,0.0905124553249199
0.009,0.045,0.0984101544436291,-4.968658806185024e-18,-5.551115123125783e-17,0.0,0.634368819080861,0.4821977416259638,0.9603107121756864,0.0175882265950805,0.8007782947961901,0.09648770697978
0.0048,0.024,0.0560142332163815,3.271822289120315e-17,0.0,0.0,0.6389173497267759,0.4696809291793657,0.9668822823881332,0.0146263979142085,0.8180172601264982,0.087237532638442
0.017,0.085,0.1951662393422255,-1.866002497518586e-17,0.0,0.0,0.5476824172291866,0.1519163528634049,0.9838734606978145,0.0070607540630961,0.8730096881561997,0.0589809367189079
0.0184,0.092,0.2015363634162541,-9.97177033081857e-18,-1.1102230246251563e-16,0.0,0.5384145757517718,0.1297325391801188,0.983432631444823,0.0072553854079637,0.8712857095922252,0.0598394089960368
0.0056,0.028,0.0656148994120815,-1.4934253520619785e-18,-1.1102230246251563e-16,0.0,0.5877792475014698,0.2650255751802619,0.978715085940417,0.0093437174028347,0.854106497541587,0.0684879742629648
0.005,0.025,0.0606733346756508,-4.9384522800779986e-17,-1.1102230246251563e-16,0.0,0.5841641025641026,0.3401493403107856,0.9783620289859238,0.0095004109614358,0.8529014921419115,0.0691011257957442
0.0168,0.084,0.1880441864468263,-4.148799502463122e-17,5.551115123125783e-17,0.0,0.5616162403826159,0.2347316278395853,0.9735424928159432,0.0116450878083217,0.8373423620482067,0.0770969368122568
0.0162,0.081,0.1912702707621018,1.9051241507726127e-18,-2.220446049250313e-16,0.0,0.5245637367508967,0.0771538265715311,0.9934412394565818,0.0028578156547816,0.919013824985877,0.0366779553495603
0.0116,0.058,0.1280833038376451,-1.9680240652021228e-17,1.1102230246251563e-16,0.0,0.5955047953730142,0.346322243656423,0.9696889982900496,0.0133675316962578,0.8258994494266303,0.083072823402755
0.0066,0.033,0.081602720779187,-4.009821342032968e-17,-1.1102230246251563e-16,0.0,0.616746576415656,0.4108828180889447,0.9665530649288328,0.0147742976901185,0.8171149676130731,0.0877168341808731
0.0124,0.062,0.141820326292159,3.611378900456892e-17,0.0,0.0,0.5649975926817525,0.236670930231536,0.9753187616374912,0.0108534214345097,0.8428973636042069,0.0742253045378363
0.0034,0.017,0.0379461320254145,3.1245421960557926e-17,1.1102230246251563e-16,0.0,0.6502303871701274,0.4654510049887692,0.9717543834512734,0.0124434916491981,0.831935677347253,0.0799102506961074
0.0198,0.099,0.2256524598842053,6.514152279724519e-17,-2.220446049250313e-16,0.0,0.5805446249397415,0.2832686795134188,0.9634118061153834,0.0161880359338256,0.8087195935684559,0.0922020347234654
0.0138,0.069,0.1604293743706322,-1.3386067539514089e-17,-2.775557561562891e-16,0.0,0.5645480160027397,0.2268890437927607,0.9749728287689552,0.0110074873580144,0.841800217348301,0.0747909664554761
0.0058,0.029,0.0687308814656242,-7.321720789910679e-20,0.0,0.0,0.5781455307361767,0.2325102018081951,0.9830720031211054,0.0074146719817264,0.8698923642559955,0.0605344812912447
0.0186,0.093,0.2211817042610413,-6.342517573367685e-17,-5.551115123125783e-17,0.0,0.5613211461630567,0.2206053588062507,0.9731163250304996,0.0118352416440563,0.8360375806183,0.0777742002065268
0.0076,0.038,0.0910567295486846,1.084665278751954e-17,0.0,0.0,0.5588412298938614,0.221407404125625,0.9805873675778536,0.0085137058548508,0.8606707768551531,0.0651629427831606
0.0046,0.023,0.0547968649225972,-1.0205133536660329e-17,0.0,0.0,0.5980597214187174,0.3623556627204832,0.9759425496869208,0.0105757469729694,0.8448953568938726,0.0731970765387795
0.0038,0.019,0.0444737268597771,3.3348789782711697e-18,-1.1102230246251563e-16,0.0,0.6159128708621707,0.3711968708462844,0.981049500946728,0.0083090788120592,0.862339188389462,0.0643218772478789
0.0232,0.116,0.2673873443601016,-5.80881258047558e-17,2.220446049250313e-16,0.0,0.5794000624122329,0.246311146061712,0.9641365523241336,0.0158614518637608,0.810623529244348,0.0911807945337794
0.0062,0.031,0.0690525176955604,2.9447816119803803e-17,2.775557561562891e-16,0.0,0.6138686374379972,0.3948631045867078,0.9677348235315912,0.014243630764023,0.8203749002271431,0.0859876355533094
