file,true_label,little_p,pklm_p,pklm_stat,levene_p,n_tests_reject,n_tests_valid,rejects_mcar,auc_obs,auc_p,auc_z,mi_max,mi_mean,caafe_quantile_ratio,caafe_tail_asym,caafe_kurt_excess,caafe_cond_entropy,log10_little_p,log10_pklm_p,log10_levene_p,log1p_quantile_ratio,tail_asym,kurt_excess,cond_entropy
MCAR_block_seed1428257952_mr9.txt,MCAR,0.6378544586831933,0.485,0.011346334480968702,1.0,0,3,False,0.4931013431013431,0.555,-0.1060355129595059,0.014643090489077526,0.005585813748524904,20.0,0.0,-1.2290026835184966,0.46451172379364575,-0.19527840435312105,-0.3142582613977364,0.0,3.044522437723423,0.0,-1.2290026835184966,0.46451172379364575
MCAR_uniform_seed923249568_mr4.txt,MCAR,0.16926653408990866,0.93,0.002085487223204688,1.0,0,3,False,0.469921875,0.7,-0.5178206261450808,0.004716522400658674,0.001459633159392959,20.0,0.0,0.12014348216214277,0.2220008474742499,-0.7714288983397593,-0.03151705144606486,0.0,3.044522437723423,0.0,0.12014348216214277,0.2220008474742499
MCAR_fixed_seed1058128376_mr2.txt,MCAR,0.5263603556569789,0.76,0.0036438020572723954,0.09222696526231142,0,3,False,0.6207908163265307,0.095,1.3705430849818578,0.001589709505495307,0.0006258905904101275,20.0,0.0,0.8287665011297438,0.278370316772898,-0.27871682829946265,-0.11918640771920865,-1.0351420816312902,3.044522437723423,0.0,0.8287665011297438,0.278370316772898
MCAR_uniform_seed1395401637_mr7.txt,MCAR,0.8014975020340938,0.79,0.005608457738006022,0.4209229098119937,0,3,False,0.545287748578071,0.135,1.0176180803076973,0.0034310358837397192,0.0009322770097956457,20.0,0.0,-1.2171258027507588,0.41962240730857125,-0.09609782684009165,-0.10237290870955855,-0.375797436014489,3.044522437723423,0.0,-1.2171258027507588,0.41962240730857125
MCAR_uniform_seed1144319714_mr6.txt,MCAR,0.8232659940949616,0.38,0.011999206907863618,0.8486573954547285,0,3,False,0.4801552275425867,0.655,-0.41583765962010294,0.0016873158955925671,0.0011821512978990034,20.0,0.0,0.5219660869549982,0.3524284210457876,-0.08445982322800616,-0.42021640338318983,-0.07126759985392539,3.044522437723423,0.0,0.5219660869549982,0.3524284210457876
MCAR_uniform_seed961228838_mr7.txt,MCAR,0.37460703120317107,0.4,0.012698905210006781,0.07479092138178803,0,3,False,0.49584533113944884,0.52,-0.04751368198880383,0.019957387890136236,0.006499479028863442,20.0,0.0,1.1202368522693869,0.1579642915932241,-0.4264240753748746,-0.3979400086720376,-1.1261511164815856,3.044522437723423,0.0,1.1202368522693869,0.1579642915932241
MCAR_uniform_seed847465072_mr4.txt,MCAR,0.6913793203878831,0.895,0.0034672005754613038,0.2570153789485408,0,3,False,0.4511775559918557,0.825,-0.8445966685532278,0.0032661773913633674,0.001242313101707082,20.0,0.0,-0.06401350286950658,0.224276172261605,-0.16028361463414337,-0.04817696468408802,-0.5900408891486262,3.044522437723423,0.0,-0.06401350286950658,0.224276172261605
MCAR_block_seed1725112594_mr8.txt,MCAR,0.43883893572122423,0.845,0.004110164960318071,1.0,0,3,False,0.5140443680291877,0.39,0.27202069542561463,0.011550117350788591,0.00693850898606041,20.0,0.0,-0.1097020253966492,0.24645144628713964,-0.35769484687055175,-0.07314329105030767,0.0,3.044522437723423,0.0,-0.1097020253966492,0.24645144628713964
MCAR_fixed_seed2078217010_mr5.txt,MCAR,0.7302835134314943,0.12,0.024385730927447717,1.0,0,3,False,0.39431578947368423,0.96,-1.9169622260204533,0.0022751608934803436,0.0005687902233700859,20.0,0.0,-1.2097202997282597,0.3884811600551306,-0.13650850369450468,-0.9208187539523752,0.0,3.044522437723423,0.0,-1.2097202997282597,0.3884811600551306
MCAR_fixed_seed52290577_mr3.txt,MCAR,0.7279643436421226,0.89,0.004136562291863443,0.6234795760303983,0,3,False,0.47457044673539517,0.605,-0.30865349505809686,0.007202836648385169,0.0026616207133529635,20.0,0.0,-0.19516825611515154,0.17346561118005693,-0.13788989230606755,-0.05060999335508721,-0.20517776858893047,3.044522437723423,0.0,-0.19516825611515154,0.17346561118005693
MCAR_uniform_seed1845335378_mr2.txt,MCAR,0.11165102119220272,0.085,0.031764997938630996,1.0,0,3,False,0.46283581960703063,0.68,-0.4239357171268316,0.0023097062646071365,0.0009860111373812264,20.0,0.0,-1.2113420202672767,0.32557961769021004,-0.9521373003927186,-1.0705810742857071,0.0,3.044522437723423,0.0,-1.2113420202672767,0.32557961769021004
MCAR_block_seed1031890379_mr5.txt,MCAR,0.24449025529405966,0.06,0.027637893824367345,1.0,0,3,False,0.43831578947368427,0.87,-1.235791611350239,0.0013103361910469236,0.0003275840477617309,20.0,0.0,-0.002226189132540579,0.2214128707425846,-0.6117384459733094,-1.2218487496163564,0.0,3.044522437723423,0.0,-0.002226189132540579,0.2214128707425846
MCAR_uniform_seed1479153626_mr1.txt,MCAR,0.8209622004660247,0.95,0.0024869980280898293,0.20733865581570413,0,3,False,0.6689022201712556,0.04,1.7420997794189506,0.006428233795990668,0.002346884846837316,20.0,0.0,-1.1902525417131047,0.2890481057089066,-0.08567683862592074,-0.022276394711152253,-0.6833197213388705,3.044522437723423,0.0,-1.1902525417131047,0.2890481057089066
MCAR_uniform_seed200015576_mr3.txt,MCAR,0.01459431302306946,0.215,0.021275815220939034,1.0,1,3,False,0.6159777954004759,0.06,1.6226756152597113,0.004900355734030359,0.00216135542101753,20.0,0.0,-1.1903166879778855,0.3330204133382561,-1.8358163431091237,-0.6675615400843947,0.0,3.044522437723423,0.0,-1.1903166879778855,0.3330204133382561
MCAR_fixed_seed1834928536_mr10.txt,MCAR,0.5984196670164089,0.265,0.013680390149931148,1.0,0,3,False,0.47850000000000004,0.685,-0.5352421314775295,0.007072967835366928,0.001768241958841732,20.0,0.0,-1.1836672804333324,0.4240368068562942,-0.22299414185424654,-0.5767541260631921,0.0,3.044522437723423,0.0,-1.1836672804333324,0.4240368068562942
MCAR_fixed_seed1606064941_mr10.txt,MCAR,0.30742903860849435,0.47,0.009200071206065783,0.07673885750235299,0,3,False,0.5022777777777778,0.465,0.0520539383017529,0.005545942165065654,0.0028406691747573376,20.0,0.0,-0.10248790914136263,0.27856948545573795,-0.5122551130503147,-0.3279021420642826,-1.1149846709197881,3.044522437723423,0.0,-0.10248790914136263,0.27856948545573795
MCAR_uniform_seed1867553706_mr6.txt,MCAR,0.7947483166756495,0.0,0.06728269037377542,0.800814604119991,1,3,False,0.38247081823931917,0.985,-2.511356675368695,0.004131972838826714,0.0010329932097066785,20.0,0.0,-0.09143579840457594,0.21608602514517614,-0.09977038327383862,-10.0,-0.09646801541024112,3.044522437723423,0.0,-0.09143579840457594,0.21608602514517614
MCAR_uniform_seed1166538042_mr9.txt,MCAR,0.211241946692436,0.38,0.011541085359980153,0.7320972737273678,0,3,False,0.4887667887667888,0.65,-0.43507300063467974,0.0,0.0,20.0,0.0,-0.43013609282465026,0.290895239405442,-0.6752198389401828,-0.42021640338318983,-0.13543121042203063,3.044522437723423,0.0,-0.43013609282465026,0.290895239405442
MCAR_block_seed803026784_mr8.txt,MCAR,0.49939025753215216,0.81,0.005001433054544836,1.0,0,3,False,0.47533967391304344,0.73,-0.5515254518648787,0.004335480351990162,0.0023645501316420514,20.0,0.0,1.0259019944068815,0.35141497881142764,-0.3015599344342062,-0.09151498112135022,0.0,3.044522437723423,0.0,1.0259019944068815,0.35141497881142764
MCAR_block_seed1115642368_mr2.txt,MCAR,0.42850546014529745,0.895,0.0021237356924132533,1.0,0,3,False,0.3544649331813944,0.965,-1.6893776343517823,0.0030254494822978817,0.0009876166646645146,20.0,0.0,-0.3840188423816455,0.20275887640183543,-0.3680436397947736,-0.04817696468408802,0.0,3.044522437723423,0.0,-0.3840188423816455,0.20275887640183543
MCAR_uniform_seed717940364_mr10.txt,MCAR,0.09930351609310772,0.46,0.010139455128251394,0.2241711812420306,0,3,False,0.5188524081083495,0.245,0.641445873637097,0.015725455972489977,0.003931363993122494,20.0,0.0,0.6399732018188935,0.20170332445191835,-1.0030353739336197,-0.3372421683184259,-0.6494202197161799,3.044522437723423,0.0,0.6399732018188935,0.20170332445191835
MCAR_fixed_seed1476540233_mr2.txt,MCAR,0.8715555176248713,0.93,0.0019186495276731126,1.0,0,3,False,0.4834183673469388,0.57,-0.12489795551838688,0.001938556501771993,0.0007067663892258991,20.0,0.0,0.2837564776519592,0.28744342927816935,-0.05970494334436696,-0.03151705144606486,0.0,3.044522437723423,0.0,0.2837564776519592,0.28744342927816935
MCAR_fixed_seed882830949_mr7.txt,MCAR,0.8355198634422912,0.23,0.01568940560158993,1.0,0,3,False,0.4245007680491552,0.96,-1.7026598573825265,0.0014670832482768237,0.0003667708120692059,20.0,0.0,-1.2262123991181335,0.4078911012864889,-0.07804322083841182,-0.638272163982407,0.0,3.044522437723423,0.0,-1.2262123991181335,0.4078911012864889
MCAR_block_seed1679339875_mr9.txt,MCAR,0.86115645467222,0.34,0.013211733507851466,0.8994062664366596,0,3,False,0.4899452256732874,0.555,-0.20034019306728562,0.0010447897575642795,0.0002611974393910699,20.0,0.0,0.9011252270136807,0.35530237583661,-0.06491793887374757,-0.46852108295774486,-0.04604409089596023,3.044522437723423,0.0,0.9011252270136807,0.35530237583661
MCAR_uniform_seed1616471783_mr10.txt,MCAR,0.01421395950409965,0.13,0.02004171880626189,1.0,1,3,False,0.5216991462410941,0.24,0.6533738284504238,0.001304495991020893,0.00032612399775522327,20.0,0.0,-0.3511548451618469,0.2612637048505646,-1.847284926206882,-0.8860566476931632,0.0,3.044522437723423,0.0,-0.3511548451618469,0.2612637048505646
